County,Population,incidenceRate,medIncome,povertyPercent,MedianAge,MedianAgeMale,MedianAgeFemale,AvgHouseholdSize,PctMarriedHouseholds,PctNoHS18_24,PctHS18_24,PctBachDeg18_24,PctHS25_Over,PctBachDeg25_Over,PctUnemployed16_Over,PctPrivateCoverage,PctEmpPrivCoverage,PctPublicCoverage,PctPublicCoverageAlone,PctWhite,PctBlack,PctAsian,PctOtherRace,deathRate
"Greene County, Virginia",19162,404,61762,9.6,481.2,39.4,41.4,2.64,58.64154127,7.1,52.3,2.6,34.9,15.7,7.4,69.7,50.3,26.1,13.8,88.44650966,6.58464463,1.24089133,1.019115007,156.5
"Alamance County, North Carolina",158276,469.1,41296,17.9,470.4,37.7,40.5,2.45,46.79502803,17.3,26,6.7,28.5,14.8,7.9,61.3,41.3,35.1,20.7,70.77960556,18.32562573,1.475608342,6.150407708,178.7
"Sandoval County, New Mexico",139394,395.4,56142,12.6,469.2,37.6,40.1,2.83,51.87665603,17.8,30.7,2.9,25.9,16.6,9.2,63.8,43.1,35.9,21.1,69.97175017,2.662509697,1.383948828,9.734480891,135.7
"Seward County, Nebraska",17110,447.2,61802,8.2,458.4,36.3,40.7,2.46,60.49149338,4.3,22.7,6.2,29.5,18,3.5,83.4,55,24.3,9,96.47605601,0.352982704,0.482409695,1.194258148,152.3
"Craven County, North Carolina",103451,457.8,43972,16.4,430.8,32.3,39.2,2.51,51.82028856,12.3,39.3,4,27.9,14.6,11.4,66.6,28.6,36.2,16,70.52848253,21.75586405,2.466251795,2.040210627,181.1
"Newton County, Georgia",105473,476,48058,19.4,429.6,33.5,37.2,2.92,47.2359343,22.2,33.9,3.2,32,13.7,11.8,60.6,42.8,33.6,20.9,53.90910419,41.73315797,1.049247406,0.489064251,182.4
"Harrison County, Mississippi",201410,497.4,41010,18.8,424.8,34.2,36.8,2.52,41.8307372,14.8,33,4.2,28.8,13.2,9.7,57.5,32.6,35.9,20.2,69.41070373,23.27327939,3.04124972,1.080155705,206.7
"Gwinnett County, Georgia",895823,439.6,59858,13.4,414,33.3,35.6,3.12,56.50014415,17.2,31.8,9.5,23.4,23.3,8.3,65.2,49.1,21.8,13.8,52.2409495,25.37027166,11.02167745,8.122350838,146.1
"Tangipahoa Parish, Louisiana",128755,489.9,39927,22.5,412.8,33,35.6,2.68,45.4565442,14.7,25.3,5.3,35.6,13.4,10.7,55.4,36.4,38.7,23.6,67.09114961,29.71566549,0.765822482,0.362590249,207.1
"Weld County, Colorado",285174,389.5,61501,10.5,406.8,33.3,34.4,2.8,57.01953465,14.4,30.9,6.1,27,17.8,6.6,69.9,51,27.3,16.3,87.205294,1.069947001,1.347121957,6.675081565,150.7
"Dewey County, South Dakota",5685,555.7,34936,27.2,349.2,28.9,29.3,3.36,36.82926829,35.2,35.5,0.9,35.4,9.1,24.6,29.6,18.4,39.6,32.9,21.72432336,0.035848718,0,0.035848718,229.8
"Sumter County, Florida",118891,444.5,51907,10.9,65.3,64.7,65.7,2.05,61.94550261,34.6,39.4,2.5,30.6,16.3,9,66.6,18.8,65.1,21.8,88.34112128,8.3418586,0.715200782,0.957594861,142.9
"Highland County, Virginia",2214,327,38636,14.6,59,60.2,58.2,2.1,53.59477124,16.1,33.9,16.9,38.6,14.6,1.1,69.4,27.4,39.3,9.7,99.50980392,0,0,0,111.3
"Charlotte County, Florida",173115,412.7,43242,11.9,57.3,56.2,58,2.26,53.69071476,23.5,37.8,4.7,34.9,13.1,10.8,61.1,25.2,51,20.1,90.49902584,5.606123668,1.282399281,0.573038249,149.8
"Catron County, New Mexico",3456,375.5,33256,22.2,57.1,55.5,58.7,2.44,53.13626532,0,24.1,12,36.3,14.8,4.6,62.3,30.7,44.3,13.1,96.42757466,0.669829752,0.334914876,0.418643595,164.7
"Alcona County, Michigan",10349,408.2,36377,17.5,56.6,56.5,56.7,2.08,55.38892222,20.6,38.1,4.7,39.9,9,12.2,66.6,26.4,55.6,18.7,97.53554502,0.274881517,0.360189573,0.123222749,177
"Wheeler County, Oregon",1358,375,33387,23.3,56.5,58.6,55,1.97,54.69448584,12.5,22.2,19.4,36.1,10.7,8.5,74.4,32.3,46.6,11.9,96.81008902,0,0.370919881,0.370919881,144.6
"Custer County, Colorado",4445,439.8,48368,14.9,56.4,58.5,55,2.15,58.16633267,36.8,21.3,0,18.7,21.9,14,51.9,19.3,52,24.2,93.98094353,3.137346038,0,0.162677202,160.8
"Llano County, Texas",19796,395.8,45096,14.9,56.3,55.8,56.8,2.21,55.48879131,16.6,42,4.6,27.2,19.4,5.8,59,28.1,47.8,21.4,95.24918491,2.23567769,0.274284531,0.708999638,168.7
"Jefferson County, Washington",30466,480.9,50964,14.1,55.6,54.3,56.8,2.18,50.49173,25.2,27.1,8.1,23.2,21.5,9.5,66,29.5,49,20.7,90.39324535,0.860951368,1.625502776,0.478675664,154.9
"Lancaster County, Virginia",10965,446.8,45827,13.7,55.6,53.4,57.2,2.13,44.2680093,10.2,46.6,10.8,32.8,15.3,7.9,71,32.4,42.9,15.5,69.77266601,28.0168928,0.979423129,0.107826399,190.6
"Ontonagon County, Michigan",6007,396,35387,17.8,55.6,55.5,55.6,2.01,49.22178988,31.1,21.5,3.8,40.6,10.8,13.7,63.6,28.9,49.4,18.7,96.25277866,0.317561131,0.508097809,0.3651953,171.1
"Sierra County, New Mexico",11282,424.2,29036,23.8,55.6,54.7,56.5,2.25,44.70658208,17.1,51.8,3.3,33.7,12.3,6.8,50.8,22.5,57.6,27.8,91.39044339,0.4563065,0.241067585,3.409384417,190.3
"Citrus County, Florida",141058,452.5,36383,20.1,55.4,54.4,56.1,2.25,51.06536419,24.1,42.3,3.2,38.2,11.1,13.1,57.6,24.7,54.3,24.4,93.29127701,2.992395492,1.593939307,0.279977659,184.3
"Northumberland County, Virginia",12232,450.4,51422,14.3,55.1,54.8,55.7,2.1,54.34226241,8.2,50.7,0.7,31.1,16.1,8.7,76.1,39.7,43.4,13.5,70.46488947,28.6979844,0.056892068,0,190.5
"La Paz County, Arizona",20152,332,32533,22.8,54.8,54.8,54.9,2.14,46.56700481,26.3,40.4,0,36.6,6.4,11.2,50.3,20.9,62.2,31.3,73.92672732,0.196705188,0.82616179,8.984509466,126.1
"Storey County, Nevada",3987,331.5,55291,8.4,54.7,54,55.6,2.2,52.23542728,16.9,43.5,13.7,29.5,14.1,10.3,68.5,40.6,34.1,13.2,94.24790023,0.432680071,1.450750827,0.203614151,132.6
"Curry County, Oregon",22483,393.2,40524,17.1,54.6,53.8,55.3,2.11,46.25023914,41.2,38,0.2,27.7,14.7,11.3,63.1,26.4,51.1,18.7,91.58384815,0.326797386,0.550631211,2.032411138,189.8
"Montmorency County, Michigan",9259,484.4,37961,15.7,54.6,54.3,54.9,2.27,49.21375921,32.3,26.3,3.5,41.9,6.8,16,60.8,27.5,53.1,21,97.05350495,0.361663653,0,0.34038932,207.6
"Keweenaw County, Michigan",2168,337.6,40411,12.7,54.5,53.2,55.4,2.1,49.03846154,20.8,32.7,8.9,32.6,13.5,7,66.2,30.8,50.8,20.6,98.36214741,0.864422202,0.136487716,0.045495905,113.5
"Sierra County, California",2967,312.8,47293,13.8,54.5,54.4,55.1,2.38,51.91693291,40.7,39.8,0,34.5,14.8,8,58.8,31.2,49,25.5,96.42502483,0.099304866,0.033101622,0.397219464,158
"Roscommon County, Michigan",23898,496.9,35002,20.7,54.4,53.9,54.8,2.06,46.59100754,19.4,33.6,3.1,38.9,9.1,14.2,60.7,27,56,22.8,96.82566063,0.199434934,0.274223035,0.091407678,201.8
"San Juan County, Washington",16252,413.3,54721,12.7,54.4,54,54.6,2.04,50.0389206,17.7,32.4,5.2,17.2,26.2,5.9,67.2,27.9,41.6,18.3,92.57332665,0.651792429,1.428929556,2.237402858,121.4
"Real County, Texas",3307,325.4,37294,18.7,54.1,53.5,55.6,2.65,56.37254902,48.6,14.2,0,28.6,16,12,46.3,21.7,49,22.9,98.1227652,0.178784267,0,0.41716329,166.8
"Sarasota County, Florida",405549,410.8,52109,10.8,54,52.2,55.5,2.21,49.33984074,14.6,38.9,6.4,30.2,19.3,8.2,66.2,30.9,43.9,17.2,91.17611048,4.713573684,1.463123473,0.769313179,146.4
"Granite County, Montana",3240,348.1,47902,14.4,53.7,54,53.6,2.19,58.4799437,35.3,27.5,1.3,36,16.1,7.2,66.5,32.9,40.3,15.9,98.5479798,0.063131313,0,0,113.2
"Grant County, North Dakota",2388,385.4,39679,16.1,53.6,53.7,53.6,2.05,55.1056338,26.1,41.3,12,38.2,13.7,3.4,77.1,29.7,35.5,11.6,97.45977985,0.33869602,0,0.423370025,147.3
"Hickory County, Missouri",9201,365.2,33707,22.1,53.5,53.2,53.8,2.25,54.73812424,21.7,41.4,4.7,42.7,6.5,12.6,50.7,20.6,53.2,24.8,96.74343867,0.171397965,0.257096947,0.224959829,179.4
"Huerfano County, Colorado",6492,454.7,32750,22,53.5,52.4,54.9,2.08,42.32804233,23.5,34,0,27,14.9,15,54.3,25,49,22,86.2503845,0.676714857,0.184558597,3.614272532,151.5
"McIntosh County, North Dakota",2759,424.9,40258,13,53.4,51.4,56.4,2.06,55.62451513,40.3,11.1,12.5,31.5,14.4,1.2,83.9,35.4,41.6,10,96.73794853,0.326205147,0.507430228,0,125.9
"Iron County, Michigan",11348,344.3,35961,17.3,53.3,52.6,54.3,2.07,44.82566766,21.4,35.6,6.8,45,13.6,9,64.1,32.8,49.2,19.7,96.56730686,0.504041019,0.36499522,0.278091596,167.6
"Union County, Georgia",22267,471.7,40667,15.1,53.3,51.2,54.5,2.54,57.97535001,27.8,34,0.7,33.4,12.2,13,59.5,29.2,47,23.2,96.16110472,0.464902186,0.754890679,1.035673188,159.3
"Presque Isle County, Michigan",12841,414.7,39420,16.1,53.2,52.8,53.5,2.13,54.9758293,16.2,27.6,11.3,40.6,10.6,13.1,70,37.2,45.7,16.4,97.26931042,0.46022858,0.337500959,0.107386669,171.8
"Aitkin County, Minnesota",15702,410.3,40676,14.9,53.1,52.7,53.4,2.05,53.34472335,19.4,42.4,8,39.9,10.8,7.3,66.3,32.5,51.5,22.3,95.07544668,0.366184734,0.309362965,0.082075889,164.1
"Golden Valley County, Montana",827,524.5,37316,20.1,53.1,53.3,50.9,2.29,57.5,2.3,53.5,2.3,42.8,16,3.5,60.6,30.4,38.4,16,96.82539683,0,0,0,231
"Jeff Davis County, Texas",2156,294.6,46364,13.1,53.1,53.4,52.8,2.12,55.22971652,51.3,48.7,0,21.1,18.7,7.1,56.3,30.9,40.3,17.8,90.86021505,0.313620072,1.075268817,6.272401434,168
"Ouray County, Colorado",4691,307.1,57242,9.6,52.9,51.2,53.5,2.31,56.86868687,17.3,37.6,2.4,19.4,30.8,6.7,69.8,31.7,35,13.9,97.72925764,0,0.829694323,0,106.1
"Custer County, South Dakota",8446,364.5,51244,10.7,52.8,51.2,53.6,2.12,59.13806864,34,28.3,8.2,30.9,19.2,5.2,72.2,39.4,37.9,14,93.41196092,0.274005242,0.34548487,0.452704313,158.7
"Kimble County, Texas",4388,376.8,38750,18.5,52.8,52,54.6,2.22,51.75879397,15.5,38.9,10.6,35.4,12.7,7.6,56.3,25,40.7,16.7,94.11502452,0.022291574,0,4.748105216,183.1
"Nelson County, North Dakota",2968,436,45040,10.8,52.8,51.8,54,1.95,49.21156373,4.6,39.4,10.9,30.8,15.7,0.7,75.9,39.1,35.5,12.9,96.29265092,1.377952756,0,0,205.3
"Middlesex County, Virginia",10606,525.6,48921,14.4,52.7,51,53.7,2.38,53.80009212,4.4,27.8,2.7,32.5,15.3,6.3,77.6,39.9,39.2,12.3,79.43454325,19.2964449,0,0.279929085,206.9
"Vilas County, Wisconsin",21387,572.8,41211,14.8,52.6,52.1,53.1,1.99,50.64813075,14.9,28.3,6.8,31.4,16.7,8,65.6,30.2,50.4,22.5,86.56988996,0.398033247,0.51510185,0.355888551,177
"Benton County, Missouri",18670,500.6,33236,19.5,52.5,51.8,53.2,2.28,54.43612713,24.1,29.7,6.5,44.8,7.7,10.2,56.5,26.4,51,25.4,97.08815106,0.434920972,0.116686114,0.164421343,209.6
"Potter County, South Dakota",2320,411.7,52758,11,52.5,52.8,52.2,2.11,51.89393939,32.3,10.8,0,40.7,16.7,0.5,77.2,37.3,34.5,12.3,93.23797139,0,1.473775466,0,145.7
"Fall River County, South Dakota",6867,515.1,42007,17,52.4,51.5,53.4,2.14,46.80919987,22.4,35.1,3.4,31,16.5,4.1,67.4,36.6,42.9,17.6,87.05473501,1.12945265,0.79640892,1.419055893,187.8
"Iron County, Wisconsin",5794,451.5,39408,15.6,52.4,52.4,52.5,1.99,50.13745704,22.2,27.7,1.6,35.8,14.1,7,65.3,35.2,46.7,21.4,97.12205857,0.440155747,0.067716269,0.338581344,195.8
"Leelanau County, Michigan",21981,372.9,60622,8.9,52.4,51.3,53.3,2.31,59.85488412,17.1,21.1,5,22.4,22.3,7.1,75.8,40.7,38.4,13.9,92.63733235,0.574131913,0.688958295,0.725702737,132.5
"Towns County, Georgia",11182,550.7,39453,18.1,52.4,50.7,54,2.34,55.95126523,7.1,19.2,4.5,34.9,13.9,10,61.9,29,45.5,19.7,95.7962963,0.87037037,0.231481481,0.175925926,193.1
"Decatur County, Kansas",2932,536.8,41434,13.9,52.3,51.9,52.8,1.91,42.70196877,11.3,40.6,18.1,37.6,18.5,3.8,67.8,35.6,40,16.1,96.5232358,0.413080895,0,0.413080895,214.7
"Garden County, Nebraska",1918,419.3,38645,15.6,52.3,50.9,52.5,2.1,58.81656805,42,37.7,5.8,32.5,16.3,3.1,68.7,31.4,38.8,15,97.36697751,0.164563906,1.097092704,0.054854635,128.2
"Wallowa County, Oregon",6856,457.3,39743,15.8,52.2,52,52.5,2.18,49.3835172,16.7,39,3.8,33.1,13.9,9.5,64.4,26.3,48,21.3,95.59574158,0.30625638,0.233338195,0.350007292,150.3
"Highlands County, Florida",99491,413.7,35787,19.5,52.1,50.2,54,2.39,51.71176077,33,34,1.4,36.3,10.7,13.3,53.2,21.6,54.6,25.3,83.03941909,9.559840534,1.504149378,3.765966968,161.6
"Jewell County, Kansas",2970,414.5,44101,13.5,52.1,50.7,52.8,2.1,54.78018144,6.3,24.6,25.1,39.4,11.3,2.5,74.8,31.9,41.5,15.8,97.13627386,0.065832785,0.592495063,0.493745885,165.8
"Madison County, Montana",7915,378.7,41539,12.6,52.1,51.6,52.5,2.23,53.30958741,13.7,29.5,12.5,35.9,18.8,4.8,66.8,32.7,34.8,13.7,95.69975538,0.772499034,0.051499936,1.390498262,129.5
"McPherson County, South Dakota",2415,284.8,38469,17,52.1,50.3,54.3,1.89,50.04955401,9.4,55.3,20.8,30.2,13.1,6.7,73.8,35,37.3,11.9,93.41581971,0.220945647,0.353513036,0,97.3
"Wahkiakum County, Washington",4042,463.2,51022,13.9,52.1,51.5,53.1,2.31,53.37995338,37.2,20.8,4.2,33.1,10.1,10.6,64.7,35.2,49.7,20.4,92.96158612,0.123915737,1.140024783,0,153.8
"Boise County, Idaho",7058,507.4,50874,15.6,52,52.9,50.8,2.29,54.17508418,19.4,33.2,5.5,27.8,17.5,10.5,67.9,36.3,37.8,13.9,95.20697168,0.537400145,0.348583878,0.087145969,163.9
"Custer County, Idaho",4087,447.3,42704,15.7,52,50.4,52.3,2.33,61.0073571,34.5,23.6,3.4,34.8,18.3,3.3,68.5,39.4,33.9,14,97.47283892,0,0.023618328,0.401511573,160.5
"Rock County, Nebraska",1381,502.1,46051,15,52,49.8,53.4,1.94,52.60869565,6,23.3,0.9,41.7,14.1,1.7,70.1,25.6,31.4,11.4,95.64596717,0.713775874,0.214132762,0.713775874,187.3
"Sheridan County, North Dakota",1310,374.8,44990,16.1,52,51.9,52.2,2.05,55.74272588,40.7,33.3,13,36.8,12,2,67.9,26,45.6,23.3,98.27973074,0,0,0.224382947,124.8
"Hamilton County, New York",4712,526.9,49137,11.4,51.9,51.7,52.7,3.38,54.2877907,13.5,42.9,12.9,32.3,13.8,9.7,73.1,42,40.6,13.6,95.25210084,0.504201681,0.105042017,0.735294118,194.2
"McCormick County, South Carolina",9706,421.7,38694,24.6,51.9,48.9,56.7,2.15,51.86110417,20.3,37.7,2,30.2,11.3,14.3,61.6,34.1,49.5,24.3,49.70186963,48.1859525,0.141485599,0.212228398,159.8
"Griggs County, North Dakota",2314,535.5,51192,9.5,51.8,50.1,54.6,2.16,60.48309179,24.4,48.7,5.9,37.6,16.5,2,81.9,36.2,34.3,7.4,96.82267067,1.245169601,0.214684414,0.128810648,232.3
"Logan County, North Dakota",1935,360.6,44696,11.9,51.8,51.8,51.9,2.12,56.9476082,11.1,53.5,15.2,39.3,10.9,2.2,82.8,35.3,34.5,11.5,97.99485861,0.30848329,0.30848329,0.051413882,108.8
"Sullivan County, Pennsylvania",6328,538.3,44191,14.4,51.8,50.4,53.1,2.22,51.59235669,28.6,41.8,4,49.1,9.8,8.7,74.2,40.9,39.2,13.8,94.67168155,2.4604294,0.48581727,0.51716032,186.2
"Divide County, North Dakota",2450,330.6,67344,8.3,51.7,51,52.3,2.07,58.37187789,11.2,34.6,13.1,34.3,18.6,0.7,83.4,43.1,27.2,6,95.67847882,0.475367329,0.864304235,0,93.8
"Door County, Wisconsin",27554,449.3,49717,11,51.7,50.2,53.2,2.11,56.50832819,20.8,31,11.1,32.9,19.7,6.2,75.8,42.4,39.5,15.5,96.61750388,0.540910894,0.479607659,0.393061916,158.7
"Pacific County, Washington",20848,404,40189,17.8,51.7,50.8,52.5,2.24,48.96703297,27.3,33.9,2.2,31.6,11.3,8.9,55.8,25.9,50.9,24.1,89.40663599,0.305158634,1.889077258,2.286267861,183.6
"Bandera County, Texas",21269,388.9,50107,13.5,51.5,51.7,51.4,2.45,56.63289918,21.8,48.5,1.6,29.2,15.4,4.8,63,32.8,37.3,15.3,93.48432391,1.41373341,0.216387767,0.543373726,140
"Baxter County, Arkansas",41053,490.9,37873,14.9,51.5,50.2,52.4,2.23,52.90134332,17.6,42.1,1.3,35.6,13.1,7.6,60.3,30.5,51.1,23.6,96.75194932,0.328947368,0.504385965,0.519005848,194.7
"Lake County, Michigan",11424,395.3,30990,29.2,51.5,51.6,51.3,2.53,47.01030928,36.9,26.4,2.4,41.5,5.6,13.2,51,25.8,57.9,30.8,87.45842815,7.894276212,0.096271661,0.376334675,213.1
"Sanders County, Montana",11336,439.6,32815,20.7,51.5,52.4,50.9,2.21,55.89519651,32.7,35.6,2.4,41.9,12.9,9.3,52.2,24.1,44.7,22.2,91.547682,0.14983254,0.273224044,0.185087255,151.3
"Adams County, Wisconsin",20148,467.9,42063,17.8,51.4,49.7,53.3,2.47,54.12278449,21.5,44.6,3.3,43.7,8.5,10.1,63.9,34.1,50.8,22.6,93.18859713,3.051195541,0.391178915,0.718791257,206
"Garfield County, Nebraska",2028,482.9,40436,11.8,51.4,53.1,50.9,2.1,49.16943522,4.1,21.1,28.5,39.5,11.8,3.5,70.2,26.3,41.8,16.8,97.98241076,0.620796689,0,0.310398345,141
"Judith Basin County, Montana",1926,507.5,43272,14.6,51.4,50.3,52.1,2.18,59.91237678,0.8,36.1,13.4,37.7,25.1,3.9,68.9,31.1,34.4,14,98.44767151,0,0,0.250375563,179.5
"Adams County, Idaho",3843,431.7,40777,14.9,51.3,51.2,51.3,2.39,53.20351759,36.7,48.4,2.4,35.4,13.1,11.3,58.4,24.8,43.8,16.4,96.46907216,0,0.128865979,0.412371134,121
"Barnstable County, Massachusetts",214333,505,64150,8.9,51.3,49.5,53,2.24,49.56310834,11.5,37.2,10.9,24.9,23,7,74.2,43.3,44.1,18.9,92.77259901,2.59352039,1.402456627,1.023905087,163
"Cook County, Minnesota",5194,321.8,48593,10.4,51.3,50.5,52.6,1.93,53.31825038,11.8,25.8,11.5,25.1,22.3,4,73.9,42.9,38.6,14.6,86.98498267,0.904890258,0.924143242,1.251443974,128.7
"Marion County, Arkansas",16185,442,33181,20.3,51.3,50.7,52.1,2.43,57.43918818,15.3,39.7,0.8,43.4,9.1,10.9,56,27.4,52.2,24,96.57917122,0.255195042,0.716976546,0.236966825,213.7
"Oscoda County, Michigan",8251,404.3,33975,20.5,51.3,50.8,51.9,2.27,51.92620727,37.1,27.9,2.6,40.6,6.7,13.2,57.4,26,49.7,20.6,96.684036,0.438180957,0.0828991,0.272382757,199.5
"Plumas County, California",18409,420.3,47964,14,51.3,50.3,52,2.26,48.99598394,10,27.4,0,23.9,13.3,15.2,62.3,33.5,44.5,20.7,90.1191606,0.65380154,0.938521565,1.471053464,167.2
"Stone County, Missouri",30943,379.3,40642,16.2,51.3,51.1,51.5,2.42,60.25241508,23.7,37.8,5.3,40.1,10.9,10.8,60.3,29.2,43,19.7,96.71713147,0.101992032,0.044621514,0.529083665,169.4
"Yavapai County, Arizona",222255,389.4,44145,15.6,51.3,49.9,52.7,2.3,50.73231503,20.9,29.5,4.6,25.6,16.1,10,59.7,29.1,48,23.3,91.62438193,0.594918424,0.879182948,2.712550232,156.6
"Emmons County, North Dakota",3402,352.4,44282,13.2,51.2,52.2,49.7,2.13,53.90869293,15.9,30.1,20.8,36.9,13.5,3.6,80,35.3,35.1,10.4,96.91019347,0,0.462027144,0,166.9
"Lemhi County, Idaho",7735,435.5,37869,18.2,51.2,51.2,51.2,2.03,49.31470035,12.5,60,2.2,33.7,15.5,6.1,63.2,27.4,44.3,18.4,95.78947368,0.346598203,0.410783055,0.410783055,142.6
"McCone County, Montana",1683,349.8,43132,15.4,51.2,51.1,51.3,2.31,64.99321574,8.8,65.7,11.8,45.9,15.6,0.8,83.4,41.3,30.7,7.4,94.67592593,0,0.347222222,0,130.6
"Wibaux County, Montana",1130,373.3,43859,11.7,51.2,53,49.6,2.15,51.78571429,18.7,28,0,37.4,16.4,3,68.1,36.2,38.5,14.3,100,0,0,0,214.4
"Florence County, Wisconsin",4464,308.2,44562,12.8,51.1,50.8,51.3,2.32,57.93067227,23.9,15.7,0,39.2,12,7.2,68.9,38.9,41.8,17.6,98.45844504,0.201072386,0.067024129,0,171.9
"Grant County, Oregon",7185,400.3,41304,16.8,51.1,52,50.6,2.26,51.47665926,16.9,39,11.6,32.3,10.8,9,60.7,30,47.7,22.2,95.4095657,0.329851567,0.412314458,0.109950522,131.4
"Mathews County, Virginia",8862,444.9,58268,10.6,51.1,50.8,51.3,2.3,60.61481871,15.8,52.6,14.2,33.3,16.2,3.3,80.6,49.9,33.6,10.6,86.32882883,10.25900901,0.484234234,0.416666667,157.1
"Wells County, North Dakota",4168,405.2,51470,10.9,51,49.6,52.6,2.04,55.52788845,12.2,25.9,14,33.8,15.6,1.3,79,37.7,35.8,11,98.02568982,0,0,0.261655566,178
"Burnett County, Wisconsin",15159,399.2,41810,16.5,50.9,50.6,51.4,2.08,51.08041575,14.7,34.9,6.8,40,11.9,7.5,64.2,34.3,48.2,23.7,91.5416721,0.482587714,0.410851702,0.254336768,190.1
"Mackinac County, Michigan",10890,422.5,39359,15.4,50.9,50,51.7,2.07,47.97465924,15.8,29.4,3.5,36.5,11.9,12.5,63.4,35.2,44,19.2,75.31691416,1.711336472,0.588554871,0.651937704,160.3
